cat_title,v_order,v_position,poem_text,poet_name,poem_id
رباعی,4,1,خندان لب و تازه‌روی می‌باید بود,حافظ,15
رباعی,1,0,این گل ز بر همنفسی می‌آید,حافظ,16
رباعی,2,1,شادی به دلم از او بسی می‌آید,حافظ,16
رباعی,3,0,پیوسته از آن روی کنم همدمی‌اش,حافظ,16
رباعی,4,1,کز رنگ وی‌ام بوی کسی می‌آید,حافظ,16
رباعی,1,0,از چرخ به هر گونه همی‌دار امید,حافظ,17
رباعی,2,1,وز گردش روزگار می‌لرز چو بید,حافظ,17
رباعی,3,0,گفتی که پس از سیاه رنگی نبود,حافظ,17
رباعی,4,1,پس موی سیاه من چرا گشت سفید,حافظ,17
رباعی,1,0,ایام شباب است شراب اولیتر,حافظ,18
رباعی,2,1,با سبز خطان باده‌ی ناب اولیتر,حافظ,18
رباعی,3,0,عالم همه سر به سر رباطیست خراب,حافظ,18
رباعی,4,1,در جای خراب هم خراب اولیتر,حافظ,18
رباعی,1,0,خوبان جهان صید توان کرد به زر,حافظ,19
رباعی,2,1,خوش خوش بر از ایشان بتوان خورد به زر,حافظ,19
رباعی,3,0,نرگس که کله دار جهان است ببین,حافظ,19
رباعی,4,1,کاو نیز چگونه سر درآورد به زر,حافظ,19
رباعی,1,0,سیلاب گرفت گرد ویرانه‌ی عمر,حافظ,20
رباعی,2,1,وآغاز پری نهاد پیمانه‌ی عمر,حافظ,20
رباعی,3,0,بیدار شو ای خواجه که خوش خوش بکشد,حافظ,20
رباعی,4,1,حمال زمانه رخت از خانه‌ی عمر,حافظ,20
رباعی,1,0,عشق رخ یار بر من زار مگیر,حافظ,21
رباعی,2,1,بر خسته دلان رند خمار مگیر,حافظ,21
رباعی,3,0,صوفی چو تو رسم رهروان می‌دانی,حافظ,21
رباعی,4,1,بر مردم رند نکته بسیار مگیر,حافظ,21
رباعی,1,0,در سنبلش آویختم از روی نیاز,حافظ,22
رباعی,2,1,گفتم من سودازده را کار بساز,حافظ,22
رباعی,3,0,گفتا که لبم بگیر و زلفم بگذار,حافظ,22
رباعی,4,1,در عیش خوش‌آویز نه در عمر دراز,حافظ,22
رباعی,1,0,مردی ز کننده‌ی در خیبر پرس,حافظ,23
رباعی,2,1,اسرار کرم ز خواجه‌ی قنبر پرس,حافظ,23
رباعی,3,0,گر طالب فیض حق به صدقی حافظ,حافظ,23
رباعی,4,1,سر چشمه‌ی آن ز ساقی کوثر پرس,حافظ,23
رباعی,1,0,چشم تو که سحر بابل است استادش,حافظ,24
رباعی,2,1,یا رب که فسونها برواد از یادش,حافظ,24
رباعی,3,0,آن گوش که حلقه کرد در گوش جمال,حافظ,24
رباعی,4,1,آویزه‌ی در ز نظم حافظ بادش,حافظ,24
رباعی,1,0,ای دوست دل از جفای دشمن درکش,حافظ,25
رباعی,2,1,با روی نکو شراب روشن درکش,حافظ,25
رباعی,3,0,با اهل هنر گوی گریبان بگشای,حافظ,25
رباعی,4,1,وز نااهلان تمام دامن درکش,حافظ,25
رباعی,1,0,ماهی که نظیر خود ندارد به جمال,حافظ,26
رباعی,2,1,چون جامه ز تن برکشد آن مشکین خال,حافظ,26
رباعی,3,0,در سینه دلش ز نازکی بتوان دید,حافظ,26
رباعی,4,1,ماننده‌ی سنگ خاره در آب زلال,حافظ,26
رباعی,1,0,در باغ چو شد باد صبا دایه‌ی گل,حافظ,27
رباعی,2,1,بربست مشاطه‌وار پیرایه‌ی گل,حافظ,27
رباعی,3,0,از سایه به خورشید اگرت هست امان,حافظ,27
رباعی,4,1,خورشید رخی طلب کن و سایه‌ی گل,حافظ,27
رباعی,1,0,لب باز مگیر یک زمان از لب جام,حافظ,28
رباعی,2,1,تا بستانی کام جهان از لب جام,حافظ,28
رباعی,3,0,در جام جهان چو تلخ و شیرین به هم است,حافظ,28
رباعی,4,1,این از لب یار خواه و آن از لب جام,حافظ,28
رباعی,1,0,در آرزوی بوس و کنارت مردم,حافظ,29
رباعی,2,1,وز حسرت لعل آبدارت مردم,حافظ,29
رباعی,3,0,قصه نکنم دراز کوتاه کنم,حافظ,29
رباعی,4,1,بازآ بازآ کز انتظارت مردم,حافظ,29
رباعی,1,0,عمری ز پی مراد ضایع دارم,حافظ,30
رباعی,2,1,وز دور فلک چیست که نافع دارم,حافظ,30
رباعی,3,0,با هر که بگفتم که تو را دوست شدم,حافظ,30
رباعی,4,1,شد دشمن من وه که چه طالع دارم,حافظ,30
رباعی,1,0,من حاصل عمر خود ندارم جز غم,حافظ,31
رباعی,2,1,در عشق ز نیک و بد ندارم جز غم,حافظ,31
رباعی,3,0,یک همدم باوفا ندیدم جز درد,حافظ,31
رباعی,4,1,یک مونس نامزد ندارم جز غم,حافظ,31
رباعی,1,0,چون باده ز غم چه بایدت جوشیدن,حافظ,32
رباعی,2,1,با لشگر غم چه بایدت کوشیدن,حافظ,32
رباعی,3,0,سبز است لبت ساغر از او دور مدار,حافظ,32
رباعی,4,1,می بر لب سبزه خوش بود نوشیدن,حافظ,32
رباعی,1,0,ای شرمزده غنچه‌ی مستور از تو,حافظ,33
رباعی,2,1,حیران و خجل نرگس مخمور از تو,حافظ,33
رباعی,3,0,گل با تو برابری کجا یارد کرد,حافظ,33
رباعی,4,1,کاو نور ز مه دارد و مه نور از تو,حافظ,33
رباعی,1,0,چشمت که فسون و رنگ می‌بازد از او,حافظ,34
رباعی,2,1,افسوس که تیر جنگ می‌بارد از او,حافظ,34
رباعی,3,0,بس زود ملول گشتی از همنفسان,حافظ,34
رباعی,4,1,آه از دل تو که سنگ می‌بارد از او,حافظ,34
رباعی,1,0,ای باد حدیث من نهانش می‌گو,حافظ,35
رباعی,2,1,سر دل من به صد زبانش می‌گو,حافظ,35
رباعی,3,0,می‌گو نه بدانسان که ملالش گیرد,حافظ,35
رباعی,4,1,می‌گو سخنی و در میانش می‌گو,حافظ,35
رباعی,1,0,ای سایه‌ی سنبلت سمن پرورده,حافظ,36
رباعی,2,1,یاقوت لبت در عدن پرورده,حافظ,36
رباعی,3,0,همچون لب خود مدام جان می‌پرور,حافظ,36
رباعی,4,1,زان راح که روحیست به تن پرورده,حافظ,36
رباعی,1,0,گفتی که تو را شوم مدار اندیشه,حافظ,37
رباعی,2,1,دل خوش کن و بر صبر گمار اندیشه,حافظ,37
رباعی,3,0,کو صبر و چه دل، کنچه دلش می‌خوانند,حافظ,37
رباعی,4,1,یک قطره‌ی خون است و هزار اندیشه,حافظ,37
رباعی,1,0,آن جام طرب شکار بر دستم نه,حافظ,38
رباعی,2,1,وان ساغر چون نگار بر دستم نه,حافظ,38
رباعی,3,0,آن می‌که چو زنجیر بپیچد بر خود,حافظ,38
رباعی,4,1,دیوانه شدم بیار بر دستم نه,حافظ,38
رباعی,1,0,با شاهد شوخ شنگ و با بربط و نی,حافظ,39
رباعی,2,1,کنجی و فراغتی و یک شیشه‌ی می,حافظ,39
رباعی,3,0,چون گرم شود ز باده ما را رگ و پی,حافظ,39
رباعی,4,1,منت نبریم یک جو از حاتم طی,حافظ,39
رباعی,1,0,قسام بهشت و دوزخ آن عقده گشای,حافظ,40
رباعی,2,1,ما را نگذارد که درآییم ز پای,حافظ,40
رباعی,3,0,تا کی بود این گرگ ربایی، بنمای,حافظ,40
رباعی,4,1,سرپنجه‌ی دشمن افکن ای شیر خدای,حافظ,40
رباعی,1,0,گر همچو من افتاده‌ی این دام شوی,حافظ,42
رباعی,2,1,ای بس که خراب باده و جام شوی,حافظ,42
رباعی,3,0,ما عاشق و رند و مست و عالم سوزیم,حافظ,42
رباعی,4,1,با ما منشین اگر نه بدنام شوی,حافظ,42
قطعه,1,0,تو نیک و بد خود هم از خود بپرس,حافظ,43
قطعه,2,1,چرا بایدت دیگری محتسب,حافظ,43
قطعه,3,0,و من یتق الله یجعل له,حافظ,43
قطعه,4,1,و یرزقه من حیث لا یحتسب,حافظ,43
قطعه,1,0,سرای مدرسه و بحث علم و طاق و رواق,حافظ,44
قطعه,2,1,چه سود چون دل دانا و چشم بینا نیست,حافظ,44
قطعه,3,0,سرای قاضی یزد ارچه منبع فضل است,حافظ,44
قطعه,4,1,خلاف نیست که علم نظر در آنجا نیست,حافظ,44
قطعه,1,0,آصف عهد زمان جان جهان تورانشاه,حافظ,45
قطعه,2,1,که در این مزرعه جز دانه‌ی خیرات نکشت,حافظ,45
قطعه,3,0,ناف هفته بد و از ماه صفر کاف و الف,حافظ,45
قطعه,4,1,که به گلشن شد و این گلخن پر دود بهشت,حافظ,45
قطعه,5,0,آنکه میلش سوی حق‌بینی و حق‌گویی بود,حافظ,45
قطعه,6,1,سال تاریخ وفاتش طلب از میل بهشت,حافظ,45
قطعه,1,0,بهاء الحق و الدین طاب مثواه,حافظ,46
قطعه,2,1,امام سنت و شیخ جماعت,حافظ,46
قطعه,3,0,چو می‌رفت از جهان این بیت می‌خواند,حافظ,46
قطعه,4,1,بر اهل فضل و ارباب براعت,حافظ,46
قطعه,5,0,به طاعت قرب ایزد می‌توان یافت,حافظ,46
قطعه,6,1,قدم در نه گرت هست استطاعت,حافظ,46
قطعه,7,0,بدین دستور تاریخ وفاتش,حافظ,46
قطعه,8,1,برون آر از حروف قرب طاعت,حافظ,46
قطعه,1,0,قوت شاعره‌ی من سحر از فرط ملال,حافظ,47
قطعه,2,1,متنفر شده از بنده گریزان میرفت,حافظ,47
قطعه,3,0,نقش خوارزم و خیال لب جیحون می‌بست,حافظ,47
قطعه,4,1,با هزاران گله از ملک سلیمان می‌رفت,حافظ,47
قطعه,5,0,می‌شد آن کس که جز او جان سخن کس نشناخت,حافظ,47
قطعه,6,1,من همی‌دیدم و از کالبدم جان می‌رفت,حافظ,47
قطعه,7,0,چون همی‌گفتمش ای مونس دیرینه‌ی من,حافظ,47
قطعه,8,1,سخت می‌گفت و دل‌آزرده و گریان می‌رفت,حافظ,47
قطعه,9,0,گفتم اکنون سخن خوش که بگوید با من,حافظ,47
قطعه,10,1,کان شکر لهجه‌ی خوشخوان خوش الحان می‌رفت,حافظ,47
قطعه,11,0,لابه بسیار نمودم که مرو سود نداشت,حافظ,47
قطعه,12,1,زانکه کار از نظر رحمت سلطان می‌رفت,حافظ,47
قطعه,13,0,پادشاها ز سر لطف و کرم بازش خوان,حافظ,47
قطعه,14,1,چه کند سوخته از غایت حرمان می‌رفت,حافظ,47
قطعه,1,0,رحمان لایموت چو آن پادشاه را,حافظ,48
قطعه,2,1,دید آن چنان کز او عمل الخیر لایفوت,حافظ,48
قطعه,3,0,جانش غریق رحمت خود کرد تا بود,حافظ,48
قطعه,4,1,تاریخ این معامله رحمان لایموت,حافظ,48
قطعه,1,0,به عهد سلطنت شاه شیخ ابواسحاق,حافظ,49
قطعه,2,1,به پنج شخص عجب ملک فارس بود آباد,حافظ,49
قطعه,3,0,نخست پادشهی همچو او ولایت بخش,حافظ,49
قطعه,4,1,که جان خویش بپرورد و داد عیش بداد,حافظ,49
قطعه,5,0,دگر مربی اسلام شیخ مجدالدین,حافظ,49
قطعه,6,1,که قاضی‌ای به از او آسمان ندارد یاد,حافظ,49
قطعه,7,0,دگر بقیه‌ی ابدال شیخ امین الدین,حافظ,49
قطعه,8,1,که یمن همت او کارهای بسته گشاد,حافظ,49
قطعه,9,0,دگر شهنشه دانش عضد که در تصنیف,حافظ,49
قطعه,10,1,بنای کار مواقف به نام شاه نهاد,حافظ,49
قطعه,11,0,دگر کریم چو حاجی قوام دریادل,حافظ,49
قطعه,12,1,که نام نیک ببرد از جهان به بخشش و داد,حافظ,49
قطعه,13,0,نظیر خویش بنگذاشتند و بگذشتند,حافظ,49
قطعه,14,1,خدای عز و جل جمله را بیامرزاد,حافظ,49
قطعه,1,0,خسروا گوی فلک در خم چوگان توشد,حافظ,50
قطعه,2,1,ساحت کون ومکان عرصه‌ی میدان تو باد,حافظ,50
قطعه,3,0,زلف خاتون ظفر شیفته‌ی پرچم توست,حافظ,50
قطعه,4,1,دیده‌ی فتح ابد عاشق جولان تو باد,حافظ,50
قطعه,5,0,ای که انشاء عطارد صفت شوکت توست,حافظ,50
قطعه,6,1,عقل کل چاکر طغراکش دیوان تو باد,حافظ,50
قطعه,7,0,طیره‌ی جلوه‌ی طوبی قد چون سرو تو شد,حافظ,50
قطعه,8,1,غیرت خلد برین ساحت ایوان تو باد,حافظ,50
قطعه,9,0,نه به تنها حیوانات و نباتات و جماد,حافظ,50
قطعه,10,1,هر چه در عالم امر است به فرمان تو باد,حافظ,50
قطعه,1,0,روح القدس آن سروش فرخ,حافظ,52
قطعه,2,1,بر قبه‌ی طارم زبرجد,حافظ,52
قطعه,3,0,می‌گفت سحر گهی که یا رب,حافظ,52
قطعه,4,1,در دولت و حشمت مخلد,حافظ,52
قطعه,5,0,بر مسند خسروی بماناد,حافظ,52
قطعه,6,1,منصور مظفر محمد,حافظ,52
قطعه,1,0,به سمع خواجه رسان ای ندیم وقت‌شناس,حافظ,53
قطعه,2,1,به خلوتی که در او اجنبی صبا باشد,حافظ,53
قطعه,3,0,لطیفه‌ای به میان آر و خوش بخندانش,حافظ,53
قطعه,4,1,به نکته‌ای که دلش را بدان رضا باشد,حافظ,53
قطعه,5,0,پس آنگهش ز کرم این قدر به لطف بپرس,حافظ,53
قطعه,6,1,که گر وظیفه تقاضا کنم روا باشد,حافظ,53
قطعه,1,0,اعظم قوام دولت و دین آنکه بر درش,حافظ,55
قطعه,2,1,از بهر خاکبوس نمودی فلک سجود,حافظ,55
قطعه,3,0,با آن وجود و آن عظمت زیر خاک رفت,حافظ,55
قطعه,4,1,در نصف ماه ذی‌قعد از عرصه‌ی وجود,حافظ,55
قطعه,5,0,تا کس امید جود ندارد دگر ز کس,حافظ,55
قطعه,6,1,آمد حروف سال وفاتش امید جود,حافظ,55
قطعه,1,0,دل منه بر دنیی و اسباب او,حافظ,56
قطعه,2,1,زانکه از وی کس وفاداری ندید,حافظ,56
قطعه,3,0,کس عسل بی‌نیش از این دکان نخورد,حافظ,56
قطعه,4,1,کس رطب بی‌خار از این بستان نچید,حافظ,56
قطعه,5,0,هر به ایامی چراغی بر فروخت,حافظ,56
قطعه,6,1,چون تمام افروخت بادش دردمید,حافظ,56
قطعه,7,0,بی تکلف هر که دل بر وی نهاد,حافظ,56
قطعه,8,1,چون بدیدی خصم خود می‌پرورید,حافظ,56
قطعه,9,0,شاه غازی خسرو گیتی‌ستان,حافظ,56
قطعه,10,1,آنکه از شمشیر او خون می‌چکید,حافظ,56
قطعه,11,0,گه به یک حمله سپاهی می‌شکست,حافظ,56
قطعه,12,1,گه به هویی قلبگاهی می‌درید,حافظ,56
قطعه,13,0,از نهیبش پنجه می‌افکند شیر,حافظ,56
قطعه,14,1,در بیابان نام او چون می‌شنید,حافظ,56
قطعه,15,0,سروران را بی‌سبب می‌کرد حبس,حافظ,56
قطعه,16,1,گردنان را بی‌خطر سر می‌برید,حافظ,56
قطعه,17,0,عاقبت شیراز و تبریز و عراق,حافظ,56
قطعه,18,1,چون مسخر کرد وقتش در رسید,حافظ,56
قطعه,19,0,آنکه روشن بد جهان‌بینش بدو,حافظ,56
قطعه,20,1,میل در چشم جهان‌بینش کشید,حافظ,56
قطعه,1,0,بر سر بازار جانبازان منادی می‌زنند,حافظ,57
قطعه,2,1,بشنوید ای ساکنان کوی رندی بشنوید,حافظ,57
قطعه,3,0,دختر رز چند روزی شد که از ما گم شده‌ست,حافظ,57
قطعه,4,1,رفت تا گیرد سر خود، هان و هان حاضر شوید,حافظ,57
قطعه,5,0,جامه‌ای دارد ز لعل و نیمتاجی از حباب,حافظ,57
قطعه,6,1,عقل و دانش برد و شد تا ایمن از وی نغنوید,حافظ,57
قطعه,7,0,هر که آن تلخم دهد حلوا بها جانش دهم,حافظ,57
قطعه,8,1,ور بود پوشیده و پنهان به دوزخ در روید,حافظ,57
قطعه,9,0,دختری شبگرد تند تلخ گلرنگ است و مست,حافظ,57
قطعه,10,1,گر بیابیدش به سوی خانه‌ی حافظ برید,حافظ,57
قطعه,1,0,برادر خواجه عادل طاب مثواه,حافظ,58
قطعه,2,1,پس از پنجاه و نه سال از حیاتش,حافظ,58
قطعه,3,0,به سوی روضه‌ی رضوان سفر کرد,حافظ,58
قطعه,4,1,خدا راضی ز افعال و صفاتش,حافظ,58
قطعه,5,0,خلیل عادلش پیوسته بر خوان,حافظ,58
قطعه,6,1,وز آنجا فهم کن سال وفاتش,حافظ,58
قطعه,1,0,بر تو خوانم ز دفتر اخلاق,حافظ,59
قطعه,2,1,آیتی در وفا و در بخشش,حافظ,59
قطعه,3,0,هر که بخراشدت جگر به جفا,حافظ,59
قطعه,4,1,همچو کان کریم زر بخشش,حافظ,59
قطعه,5,0,کم مباش از درخت سایه فکن,حافظ,59
قطعه,6,1,هر که سنگت زند ثمر بخشش,حافظ,59
قطعه,7,0,از صدف یاد دار نکته‌ی حلم,حافظ,59
قطعه,8,1,هر که برد سرت گهر بخشش,حافظ,59
قطعه,1,0,زان حبه خضرا خور کز روی سبک روحی,حافظ,60
قطعه,2,1,هر کاو بخورد یک جو بر سیخ زند سی مرغ,حافظ,60
قطعه,3,0,زان لقمه که صوفی را در معرفت اندازد,حافظ,60
قطعه,4,1,یک ذره و صد مستی یک دانه و صد سیمرغ,حافظ,60
قطعه,1,0,مجد دین سرور و سلطان قضات اسماعیل,حافظ,61
قطعه,2,1,که زدی کلک زبان آورش از شرع نطق,حافظ,61
قطعه,3,0,ناف هفته بد و از ماه رجب کاف و الف,حافظ,61
قطعه,4,1,که برون رفت از این خانه‌ی بی‌نظم و نسق,حافظ,61
قطعه,5,0,کنف رحمت حق منزل او دان و آنگه,حافظ,61
قطعه,6,1,سال تاریخ وفاتش طلب از رحمت حق,حافظ,61
قطعه,1,0,بلبل و سرو و سمن یاسمن و لاله و گل,حافظ,62
قطعه,2,1,هست تاریخ وفات شه مشکین کاکل,حافظ,62
قطعه,3,0,خسرو روی زمین غوث زمان بواسحاق,حافظ,62
قطعه,4,1,که به مه طلعت او نازد و خندد بر گل,حافظ,62
قطعه,5,0,جمعه‌ی بیست و دوم ماه جمادی الاول,حافظ,62
قطعه,6,1,در پسین بود که پیوسته شد از جزو به کل,حافظ,62
قطعه,1,0,سال و فال و مال و حال و اصل و نسل و تخت و بخت,حافظ,63
قطعه,2,1,بادت اندر شهریاری برقرار و بر دوام,حافظ,63
قطعه,3,0,سال خرم فال نیکو مال وافر حال خوش,حافظ,63
قطعه,4,1,اصل ثابت نسل باقی تخت عالی بخت رام,حافظ,63
قطعه,1,0,سرور اهل عمایم شمع جمع انجمن,حافظ,64
قطعه,2,1,صاحب صاحبقران خواجه قوام الدین حسن,حافظ,64
قطعه,3,0,سادس ماه ربیع الاخر اندر نیمروز,حافظ,64
قطعه,4,1,روز آدینه به حکم کردگار ذوالمنن,حافظ,64
قطعه,5,0,هفتصد و پنجاه و چار از هجرت خیرالبشر,حافظ,64
قطعه,6,1,مهر را جوزا مکان و ماه را خوشه وطن,حافظ,64
قطعه,7,0,مرغ روحش کاو همای آشیان قدس بود,حافظ,64
قطعه,8,1,شد سوی باغ بهشت از دام این دار محن,حافظ,64
قطعه,1,0,دلا دیدی که آن فرزانه فرزند,حافظ,65
قطعه,2,1,چه دید اندر خم این طاق رنگین,حافظ,65
قطعه,3,0,به جای لوح سیمین در کنارش,حافظ,65
قطعه,4,1,فلک بر سر نهادش لوح سنگین,حافظ,65
قطعه,1,0,در این ظلمت‌سرا تا کی به بوی دوست بنشینم,حافظ,66
قطعه,2,1,گهی انگشت بر دندان گهی سر بر سر زانو,حافظ,66
قطعه,3,0,بیا ای طایر دولت بیاور مژده‌ی وصلی,حافظ,66
قطعه,4,1,عسی الایام ان یرجعن قوما کالذی کانوا,حافظ,66
قطعه,1,0,ای معرا اصل عالی جوهرت از حرص و آز,حافظ,67
قطعه,2,1,وی مبرا ذات میمون اخترت از زرق و ریو,حافظ,67
قطعه,3,0,در بزرگی کی روا باشد که تشریفات را,حافظ,67
قطعه,4,1,از فرشته بازگیری آنگهی بخشی به دیو,حافظ,67
قطعه,1,0,ساقیا پیمانه پر کن زانکه صاحب مجلست,حافظ,68
قطعه,2,1,آرزو می‌بخشد و اسرار می‌دارد نگاه,حافظ,68
قطعه,3,0,جنت نقد است اینجا عیش و عشرت تازه کن,حافظ,68
قطعه,4,1,زانکه در جنت خدا بر بنده ننویسد گناه,حافظ,68
قطعه,5,0,دوستداران دوستکامند و حریفان باادب,حافظ,68
قطعه,6,1,پیشکاران نیکنام و صف‌نشینان نیکخواه,حافظ,68
قطعه,7,0,ساز چنگ آهنگ عشرت صحن مجلس جای رقص,حافظ,68
قطعه,8,1,خال جانان دانه‌ی دل زلف ساقی دام راه,حافظ,68
قطعه,9,0,دور از این بهتر نباشد ساقیا عشرت گزین,حافظ,68
قطعه,10,1,حال از این خوشتر نباشد حافظا ساغر بخواه,حافظ,68
قطعه,1,0,به گوش جان رهی منهی ای ندا در داد,حافظ,69
قطعه,2,1,ز حضرت احدی لا اله الا الله,حافظ,69
قطعه,3,0,که ای عزیز کسی را که خواریست نصیب,حافظ,69
قطعه,4,1,حقیقت آنکه نیابد به زور منصب و جاه,حافظ,69
قطعه,5,0,به آب زمزم و کوثر سفید نتوان کرد,حافظ,69
قطعه,6,1,گلیم بخت کسی را که بافتند سیاه,حافظ,69
قطعه,1,0,به روز شنبه‌ی سادس ز ماه ذی الحجه,حافظ,70
قطعه,2,1,به سال هفتصد و شصت از جهان بشد ناگاه,حافظ,70
قطعه,3,0,ز شاهراه سعادت به باغ رضوان رفت,حافظ,70
قطعه,4,1,وزیر کامل ابونصر خواجه فتح الله,حافظ,70
قطعه,1,0,به من سلام فرستاد دوستی امروز,حافظ,71
قطعه,2,1,که ای نتیجه‌ی کلکت سواد بینایی,حافظ,71
قطعه,3,0,پس از دو سال که بختت به خانه باز آورد,حافظ,71
قطعه,4,1,چرا ز خانه‌ی خواجه به در نمی‌آیی,حافظ,71
قطعه,5,0,جواب دادم و گفتم بدار معذورم,حافظ,71
قطعه,6,1,که این طریقه نه خودکامیست و خودرایی,حافظ,71
قطعه,7,0,وکیل قاضی‌ام اندر گذر کمین کرده‌ست,حافظ,71
قطعه,8,1,به کف قباله‌ی دعوی چو مار شیدایی,حافظ,71
قطعه,9,0,که گر برون نهم از آستان خواجه قدم,حافظ,71
قطعه,10,1,بگیردم سوی زندان برد به رسوایی,حافظ,71
قطعه,11,0,جناب خواجه حصار من است گر اینجا,حافظ,71
قطعه,12,1,کسی نفس زند از حجت تقاضایی,حافظ,71
قطعه,13,0,به عون قوت بازوی بندگان وزیر,حافظ,71
قطعه,14,1,به سیلی‌اش بشکافم دماغ سودایی,حافظ,71
قطعه,15,0,همیشه باد جهانش به کام وز سر صدق,حافظ,71
قطعه,16,1,کمر به بندگی‌اش بسته چرخ مینایی,حافظ,71
قطعه,1,0,گدا اگر گهر پاک داشتی در اصل,حافظ,72
قطعه,2,1,بر آب نقطه‌ی شرمش مدار بایستی,حافظ,72
قطعه,3,0,ور آفتاب نکردی فسوس جام زرش,حافظ,72
قطعه,4,1,چرا تهی ز می خوشگوار بایستی,حافظ,72
قطعه,5,0,وگر سرای جهان را سر خرابی نیست,حافظ,72
قطعه,6,1,اساس او به از این استوار بایستی,حافظ,72
قطعه,7,0,زمانه گر نه زر قلب داشتی کارش,حافظ,72
قطعه,8,1,به دست آصف صاحب عیار بایستی,حافظ,72
قطعه,9,0,چو روزگار جز این یک عزیز بیش نداشت,حافظ,72
قطعه,10,1,به عمر مهلتی از روزگار بایستی,حافظ,72
قطعه,1,0,خسروا دادگرا شیردلا بحرکفا,حافظ,74
قطعه,2,1,ای جلال تو به انواع هنر ارزانی,حافظ,74
قطعه,3,0,همه آفاق گرفت و همه اطراف گشاد,حافظ,74
قطعه,4,1,صیت مسعودی و آوازه‌ی شه سلطانی,حافظ,74
